cik,sic,sic1,sic2,sic3
41499,3420,3,34,342
41719,2621,2,26,262
41781,2080,2,20,208
41980,3490,3,34,349
42136,3089,3,30,308
42179,5311,5,53,531
42228,2090,2,20,209
42246,7990,7,79,799
42284,9995,9,99,999
42293,6035,6,60,603
42311,1040,1,10,104
42316,1623,1,16,162
42504,2731,2,27,273
42542,3728,3,37,372
42582,3011,3,30,301
42682,3561,3,35,356
42791,3561,3,35,356
42888,3561,3,35,356
43142,4812,4,48,481
43196,4833,4,48,483
43287,3564,3,35,356
43300,5411,5,54,541
43340,9995,9,99,999
43350,4924,4,49,492
43362,2890,2,28,289
43410,6795,6,67,679
43512,6035,6,60,603
43514,3089,3,30,308
43620,6726,6,67,672
43704,4911,4,49,491
43837,5945,5,59,594
43920,2650,2,26,265
43952,7311,7,73,731
44041,2060,2,20,206
44171,2851,2,28,285
44279,3721,3,37,372
44319,3679,3,36,367
44358,6331,6,63,633
44420,2851,2,28,285
44471,2250,2,22,225
44482,7812,7,78,781
44549,1221,1,12,122
44570,4911,4,49,491
44764,3826,3,38,382
44800,7370,7,73,737
44801,4922,4,49,492
45012,1389,1,13,138
45136,3679,3,36,367
45260,2320,2,23,232
45333,3350,3,33,335
45356,5140,5,51,514
45370,3080,3,30,308
45379,5411,5,54,541
45529,2731,2,27,273
45599,2780,2,27,278
45621,5122,5,51,512
45635,3669,3,36,366
45674,4731,4,47,473
45791,5621,5,56,562
45876,3390,3,33,339
45919,7331,7,73,733
46012,3060,3,30,306
46043,5731,5,57,573
46080,3944,3,39,394
46109,3590,3,35,359
46129,3621,3,36,362
46135,6726,6,67,672
46195,6020,6,60,602
46238,6020,6,60,602
46250,5160,5,51,516
46267,6035,6,60,603
46428,2200,2,22,220
46445,3630,3,36,363
46454,5047,5,50,504
46455,3845,3,38,384
46517,5211,5,52,521
46601,5712,5,57,571
46613,3559,3,35,355
46619,3724,3,37,372
46653,7363,7,73,736
46656,6512,6,65,651
46709,3560,3,35,356
46738,6153,6,61,615
46765,1381,1,13,138
46989,2890,2,28,289
47016,7830,7,78,783
47035,3812,3,38,381
47111,2060,2,20,206
47217,3570,3,35,357
47254,7372,7,73,737
47268,9995,9,99,999
47288,6020,6,60,602
47307,3564,3,35,356
47518,2590,2,25,259
47647,3825,3,38,382
47710,3570,3,35,357
47800,2452,2,24,245
47824,2800,2,28,280
48039,2911,2,29,291
48107,2835,2,28,283
48174,6311,6,63,631
48216,1311,1,13,131
48272,1531,1,15,153
48276,1400,1,14,140
48287,2522,2,25,252
48305,3822,3,38,382
48465,2011,2,20,201
48569,2670,2,26,267
48638,2731,2,27,273
48824,3460,3,34,346
48898,3640,3,36,364
48948,4581,4,45,458
49029,5070,5,50,507
49071,6324,6,63,632
49101,3812,3,38,381
49146,3579,3,35,357
49196,6020,6,60,602
49401,3021,3,30,302
49423,4941,4,49,494
49438,3433,3,34,343
49444,7812,7,78,781
49534,6411,6,64,641
49588,5812,5,58,581
49600,6798,6,67,679
49615,3812,3,38,381
49728,3672,3,36,367
49754,6794,6,67,679
49826,3560,3,35,356
49899,6020,6,60,602
49906,2800,2,28,280
49930,5030,5,50,503
49938,2911,2,29,291
49975,6726,6,67,672
49996,3330,3,33,333
50104,2911,2,29,291
50200,6020,6,60,602
50253,3569,3,35,356
50292,3678,3,36,367
50341,6020,6,60,602
50361,1400,1,14,140
50420,7370,7,73,737
50471,7372,7,73,737
50493,5411,5,54,541
50505,8742,8,87,874
50587,3559,3,35,355
50601,3674,3,36,367
50710,2834,2,28,283
50716,3829,3,38,382
50725,3442,3,34,344
50842,3679,3,36,367
50863,3674,3,36,367
50916,6211,6,62,621
50957,2510,2,25,251
50977,5065,5,50,506
50982,6311,6,63,631
51017,3577,3,35,357
51103,3442,3,34,344
51124,2750,2,27,275
51143,7370,7,73,737
51207,5140,5,51,514
51253,2860,2,28,286
51396,3842,3,38,384
51410,2040,2,20,204
51434,2631,2,26,263
51442,1311,1,13,131
51467,5812,5,58,581
51497,8731,8,87,873
51519,5090,5,50,509
51548,7948,7,79,794
51644,7311,7,73,731
51720,4931,4,49,493
51939,6020,6,60,602
52234,6282,6,62,628
52466,3559,3,35,355
52477,2011,2,20,201
52491,4931,4,49,493
52522,5990,5,59,599
52532,5172,5,51,517
52552,5812,5,58,581
52589,3844,3,38,384
52617,6020,6,60,602
52677,7011,7,70,701
52708,3577,3,35,357
52741,5080,5,50,508
52795,5065,5,50,506
52827,6798,6,67,679
52935,7011,7,70,701
52969,2300,2,23,230
52971,5065,5,50,506
52988,1600,1,16,160
53025,5311,5,53,531
53117,2621,2,26,262
53134,5331,5,53,533
53260,5065,5,50,506
53281,5812,5,58,581
53316,6020,6,60,602
53347,6311,6,63,631
53500,6552,6,65,655
53678,7389,7,73,738
53748,2844,2,28,284
54045,3620,3,36,362
54050,3911,3,39,391
54175,1531,1,15,153
54182,3250,3,32,325
54187,6512,6,65,651
54193,6794,6,67,679
54235,7011,7,70,701
54381,5080,5,50,508
54441,1700,1,17,170
54473,6311,6,63,631
54480,4011,4,40,401
54496,4911,4,49,491
54681,9995,9,99,999
54727,6311,6,63,631
54750,6411,6,64,641
54883,7371,7,73,737
54991,3825,3,38,382
55067,2040,2,20,204
55080,2330,2,23,233
55135,7363,7,73,736
55195,6311,6,63,631
55242,3540,3,35,354
55362,6311,6,63,631
55393,5621,5,56,562
55454,3089,3,30,308
55510,5122,5,51,512
55529,3821,3,38,382
55604,3312,3,33,331
55642,3490,3,34,349
55698,3080,3,30,308
55742,6552,6,65,655
55772,2520,2,25,252
55785,2621,2,26,262
55805,3470,3,34,347
55820,6799,6,67,679
56047,4400,4,44,440
56151,3790,3,37,379
56252,2300,2,23,230
56316,4512,4,45,451
56356,8731,8,87,873
56362,2540,2,25,254
56439,3669,3,36,366
56583,3621,3,36,362
56679,7361,7,73,736
56701,3651,3,36,365
56806,3724,3,37,372
56808,5122,5,51,512
56868,1311,1,13,131
56871,2013,2,20,201
56873,5411,5,54,541
56955,3510,3,35,351
56978,3559,3,35,355
57041,9995,9,99,999
57055,2834,2,28,283
57083,3674,3,36,367
57131,2510,2,25,251
57139,3812,3,38,381
57187,3312,3,33,331
57201,4813,4,48,481
57497,3640,3,36,364
57515,2030,2,20,203
57528,2052,2,20,205
57538,3843,3,38,384
57725,2834,2,28,283
58091,2821,2,28,282
58151,7331,7,73,733
58172,2890,2,28,289
58204,6795,6,67,679
58254,7363,7,73,736
58361,2711,2,27,271
58411,2844,2,28,284
58492,2510,2,25,251
58526,8011,8,80,801
58592,6794,6,67,679
58621,1531,1,15,153
59198,3490,3,34,349
59229,4833,4,48,483
59240,2452,2,24,245
59255,2810,2,28,281
59440,6531,6,65,653
